timestamp,amp_sensor,sens_sensor,sensor
1634803161590,20,10,3816 180 2044 3956 4884 488 932 516 0 752 4972 4604 6372 3324 2744 3096 2664 280 528 1172 480 836 1176 1940 1124 4260 3204 644 1140 1968 2836 4220
1634803161591,20,10,3796 296 2044 3956 4860 476 928 544 0 764 4968 4624 6376 3276 2708 3108 2644 328 564 1168 464 992 1180 1984 1148 4304 3184 672 1116 1988 2904 4220
1634803161764,20,10,3808 352 2128 3988 4940 520 960 560 0 784 4984 4588 6380 3296 2700 3124 2668 344 580 1152 444 1048 1212 1980 1160 4352 3216 680 1120 1984 2876 4252
1634803161764,20,10,3820 376 2200 3996 4984 500 972 600 64 792 4980 4648 6388 3264 2756 3136 2684 360 584 1172 480 1052 1244 1992 1180 4368 3228 672 1128 1968 2868 4256
1634803161764,20,10,3792 364 2176 4040 5024 460 988 620 76 812 4980 4656 6424 3312 2768 3164 2716 400 596 1212 480 1044 1264 2012 1216 4376 3228 692 1148 1940 2808 4184
1634803161815,20,10,3788 388 2172 4028 5040 424 976 576 0 784 5000 4660 6428 3280 2748 3136 2696 356 636 1196 492 1020 1232 2032 1184 4372 3184 696 1196 1932 2784 4112
1634803161815,20,10,3776 384 2168 4036 5000 416 1020 564 64 808 5036 4688 6428 3284 2700 3032 2664 348 600 1200 492 1032 1200 2008 1172 4344 3148 652 1176 1948 2756 4080
1634803161815,20,10,3808 340 2204 4096 4988 416 1004 600 64 744 4980 4596 6444 3232 2680 2936 2568 368 648 1240 488 1044 1304 2000 1188 4344 3216 652 1176 1964 2820 4172
1634803161856,20,10,3796 384 2212 4080 5020 444 1000 604 0 752 5024 4660 6456 3172 2684 2916 2556 332 632 1236 504 1036 1284 2000 1200 4328 3128 656 1200 1972 2816 4140
1634803161856,20,10,3804 372 2176 4084 5032 412 1024 580 0 772 5008 4660 6460 3132 2708 2948 2612 336 668 1268 528 1056 1308 2004 1196 4384 3140 660 1160 2008 2852 4192
1634803161947,20,10,3816 416 2192 4144 5016 396 996 620 60 764 5032 4688 6480 3156 2708 2968 2596 388 688 1244 488 1020 1324 2008 1192 4360 3196 680 1144 2012 2892 4176
1634803161947,20,10,3844 384 2208 4064 5056 408 1012 648 64 776 5024 4692 6456 3184 2692 2964 2596 372 656 1244 504 1024 1356 1988 1156 4416 3216 684 1160 1996 2884 4200
1634803162049,20,10,3844 380 2192 4048 5040 388 1020 640 84 764 5060 4728 6452 3160 2620 2956 2604 368 688 1272 508 1012 1344 2016 1116 4416 3220 672 1148 2004 2892 4208
1634803162049,20,10,3820 360 2192 4092 5012 356 1020 644 64 764 5048 4720 6468 3132 2680 2976 2624 368 684 1296 504 1040 1368 2028 1124 4416 3212 696 1200 1980 2888 4132
1634803162049,20,10,3784 368 2204 4076 5012 368 1032 616 0 728 5024 4632 6408 3124 2656 2876 2560 392 720 1260 484 1040 1376 2028 1116 4352 3140 656 1152 1984 2796 4036
1634803162099,20,10,3712 348 2192 4052 5000 340 1040 624 60 664 4948 4532 6424 3088 2620 2880 2488 356 700 1248 476 1020 1360 2016 1136 4352 3100 608 1132 1964 2800 4024
1634803162140,20,10,3712 384 2176 4072 5032 356 1048 656 76 688 4960 4612 6456 3112 2692 2920 2540 376 684 1248 460 1028 1404 2036 1168 4344 3160 656 1144 1984 2872 4156
1634803162140,20,10,3792 376 2208 4068 5048 376 1100 756 136 700 4984 4668 6480 3108 2684 2964 2568 340 728 1280 496 1080 1520 2036 1148 4400 3176 680 1172 2012 2936 4248
1634803162191,20,10,3808 380 2232 4112 5068 384 1128 788 140 716 5056 4712 6528 3152 2696 2980 2616 352 728 1280 480 1064 1512 2076 1148 4404 3196 684 1120 2020 2964 4296
1634803162191,20,10,3756 360 2260 4124 5060 352 1156 796 176 752 5060 4744 6528 3084 2680 2968 2592 364 788 1344 512 1076 1528 2088 1160 4412 3188 692 1120 2012 2964 4288
1634803162272,20,10,3752 424 2268 4160 5096 312 1184 884 140 716 5096 4756 6544 3028 2688 2964 2592 384 800 1376 496 1080 1580 2084 1216 4400 3228 676 1128 2028 3008 4332
1634803162272,20,10,3808 476 2360 4276 5184 440 1364 992 252 748 5108 4772 6520 3104 2700 3008 2596 400 936 1428 528 1152 1632 2124 1240 4456 3260 724 1156 2072 3036 4348
1634803162272,20,10,3788 556 2488 4388 5272 512 1440 1024 260 816 5112 4808 6564 3096 2720 3016 2636 468 1052 1476 716 1172 1608 2120 1228 4472 3264 752 1180 2096 3068 4376
1634803162323,20,10,3860 596 2500 4372 5264 464 1396 1024 260 800 5176 4828 6576 3104 2704 2984 2616 504 1108 1524 692 1168 1604 2140 1296 4460 3276 732 1216 2088 3056 4348
1634803162363,20,10,3820 568 2516 4380 5236 504 1424 976 244 776 5120 4768 6564 3120 2696 2952 2600 492 1120 1548 728 1172 1572 2124 1244 4448 3284 744 1208 2084 3032 4284
1634803162363,20,10,3796 548 2528 4348 5200 436 1368 872 140 768 4996 4532 6472 3084 2656 2844 2520 472 1056 1516 724 1128 1552 2136 1252 4432 3260 692 1160 2028 3000 4220
1634803162434,20,10,3756 544 2500 4312 5112 492 1308 844 112 636 4960 4476 6492 3048 2620 2788 2504 424 1020 1488 716 1128 1520 2148 1264 4372 3116 632 1144 2000 2896 4076
1634803162445,20,10,3732 492 2472 4316 5084 444 1304 844 108 672 4992 4508 6424 3072 2636 2824 2472 404 952 1384 560 1120 1504 2136 1272 4348 3120 636 1068 1988 2820 4032
1634803162486,20,10,3700 440 2408 4312 5040 492 1268 820 136 704 5016 4572 6460 3096 2636 2784 2508 416 900 1388 532 1140 1536 2148 1288 4368 3204 628 1112 1980 2824 4076
1634803162547,20,10,3744 404 2296 4320 5052 428 1152 684 60 700 5016 4576 6472 3068 2656 2812 2508 404 912 1416 532 1164 1576 2176 1288 4404 3284 660 1152 2024 2856 4120
1634803162594,20,10,3772 416 2356 4320 5020 436 1116 664 56 740 5024 4592 6496 3076 2652 2864 2524 392 800 1348 532 1124 1516 2124 1248 4408 3312 688 1168 1980 2828 4128
1634803162595,20,10,3804 388 2328 4288 5052 356 1020 608 0 708 4996 4576 6476 3080 2652 2860 2552 352 736 1332 528 1124 1504 2104 1228 4408 3304 680 1156 1976 2848 4112
1634803162596,20,10,3800 368 2296 4300 5052 276 1044 576 0 688 5040 4608 6488 3088 2652 2836 2540 384 732 1304 500 1136 1488 2096 1216 4416 3264 680 1172 1972 2880 4128
1634803162678,20,10,3780 348 2272 4264 5048 300 956 512 0 720 5004 4640 6480 3120 2672 2864 2556 372 736 1332 500 1136 1420 2124 1236 4440 3288 668 1168 2012 2852 4112
1634803162678,20,10,3788 332 2272 4300 5052 248 944 428 0 720 5024 4620 6496 3116 2668 2868 2552 392 668 1284 484 1088 1404 2112 1200 4444 3268 680 1168 2016 2864 4120
1634803162678,20,10,3840 336 2220 4272 5036 220 896 412 0 720 5028 4664 6508 3136 2652 2900 2564 360 544 1200 416 1100 1404 2136 1200 4444 3248 672 1112 2008 2864 4168
1634803162770,20,10,3824 240 2188 4228 4988 0 752 312 0 684 5032 4652 6504 3156 2688 2912 2592 336 404 988 188 1104 1396 2100 1120 4436 3248 656 1116 1992 2852 4172
1634803162770,20,10,3772 172 2112 4160 5056 64 612 140 0 712 5044 4604 6520 3152 2700 2908 2580 248 116 832 0 1044 1436 1988 1020 4456 3252 668 1144 2004 2848 4220
1634803162816,20,10,3816 100 1960 4028 4916 0 324 0 0 712 5004 4636 6572 3192 2712 2972 2620 76 0 548 0 980 1164 1720 960 4480 3248 652 1088 1984 2848 4196
1634803162816,20,10,3840 0 1784 3856 4812 0 0 0 0 680 4952 4572 6532 3296 2660 3040 2636 0 0 336 0 804 852 1496 792 4460 3260 672 1116 1972 2816 4212
1634803162861,20,10,3820 0 1604 3640 4656 0 0 0 0 780 5056 4600 6572 3332 2700 3084 2640 0 0 0 0 716 712 1364 736 4428 3232 680 1084 1968 2776 4224
1634803162952,20,10,3804 0 1508 3436 4596 0 0 0 0 732 5036 4632 6564 3340 2752 3052 2652 0 0 0 0 536 628 1244 720 4336 3272 624 1104 1948 2784 4164
1634803162993,20,10,3788 0 1492 3380 4464 0 0 0 0 696 5044 4616 6560 3352 2784 3076 2668 0 0 0 0 516 608 1300 696 4344 3292 620 1116 1936 2740 4132
1634803162993,20,10,3740 0 1452 3400 4448 0 0 0 0 752 5032 4604 6552 3364 2800 3076 2660 0 0 0 0 500 544 1344 720 4352 3276 608 1116 1944 2744 4172
1634803162993,20,10,3716 0 1528 3424 4444 0 0 0 0 772 5068 4620 6592 3340 2832 3112 2704 0 0 0 0 600 660 1384 772 4348 3300 640 1108 1984 2772 4156
1634803163085,20,10,3724 0 1572 3460 4524 0 0 0 0 764 5088 4660 6572 3376 2856 3100 2716 0 0 0 0 660 664 1404 816 4384 3332 672 1168 1952 2780 4132
1634803163085,20,10,3748 0 1612 3472 4552 0 0 0 0 784 5088 4704 6608 3384 2884 3112 2700 0 0 0 0 632 680 1436 820 4416 3296 624 1180 1908 2756 4000
1634803163085,20,10,3752 0 1624 3488 4548 0 0 0 0 780 5124 4712 6636 3396 2880 3124 2720 0 0 0 0 448 668 1432 780 4364 3300 600 1116 1908 2740 3996
1634803163130,20,10,3740 0 1652 3508 4576 0 0 0 0 784 5140 4668 6624 3372 2852 3108 2736 0 0 64 0 388 580 1404 776 4356 3332 620 1140 1912 2744 4028
1634803163130,20,10,3732 0 1640 3512 4592 0 0 0 0 776 5140 4688 6608 3384 2872 3140 2724 0 0 96 0 428 580 1440 780 4368 3360 628 1176 1916 2740 4032
1634803163186,20,10,3760 0 1644 3548 4588 0 0 0 0 800 5148 4700 6644 3412 2884 3148 2752 0 0 96 0 508 708 1428 808 4416 3392 652 1172 1952 2748 4068
1634803163222,20,10,3792 0 1664 3624 4676 0 0 0 0 796 5120 4768 6636 3388 2868 3188 2752 0 0 212 0 556 780 1472 836 4428 3376 700 1184 2000 2796 4108
1634803163222,20,10,3784 0 1660 3652 4676 0 0 0 0 728 5116 4800 6640 3376 2884 3208 2776 0 0 276 0 636 788 1520 896 4456 3396 660 1200 1980 2804 4116
1634803163313,20,10,3768 0 1704 3676 4740 0 92 0 0 732 5100 4732 6620 3356 2880 3172 2744 0 0 344 0 676 748 1528 868 4460 3428 684 1204 2004 2856 4140
1634803163313,20,10,3788 0 1684 3684 4748 72 236 0 0 732 5136 4700 6624 3344 2792 3184 2764 0 0 380 0 760 752 1552 912 4500 3408 684 1188 2016 2840 4136
1634803163502,20,10,3728 0 1696 3700 4764 80 352 108 0 756 5124 4720 6636 3304 2792 3192 2752 0 0 412 0 908 888 1596 1024 4528 3436 700 1184 2012 2880 4164
1634803163502,20,10,3704 80 1740 3764 4852 84 428 204 0 784 5120 4720 6632 3328 2784 3232 2776 0 0 464 0 936 996 1764 988 4540 3452 720 1184 2036 2892 4240
1634803163502,20,10,3744 128 1804 3868 4916 0 540 312 56 816 5176 4760 6672 3356 2780 3248 2776 104 84 592 0 960 1148 1856 1052 4644 3516 784 1192 2076 2956 4260
1634803163554,20,10,3840 192 1848 3896 5000 204 664 480 128 804 5168 4740 6644 3392 2812 3272 2796 124 136 632 56 976 1184 1868 1080 4608 3548 796 1236 2080 2936 4204
1634803163599,20,10,3792 176 1884 3916 5012 56 636 472 104 780 5156 4560 6648 3368 2796 3212 2748 140 84 664 56 944 1156 1868 1032 4540 3320 696 1208 2012 2744 4116
1634803163600,20,10,3748 120 1848 3844 4868 0 416 136 0 752 5036 4588 6632 3292 2700 2988 2672 0 0 560 0 912 992 1800 932 4512 3376 692 1180 2020 2760 4064
1634803163600,20,10,3756 76 1752 3808 4860 124 364 0 0 748 5084 4764 6640 3256 2764 3040 2692 0 0 544 0 800 948 1708 868 4548 3440 740 1208 2024 2792 4152
1634803163644,20,10,3808 0 1724 3780 4816 180 228 0 0 792 5108 4744 6652 3316 2812 3084 2716 0 0 480 0 788 836 1612 820 4584 3476 732 1228 2020 2816 4160
1634803163644,20,10,3800 0 1692 3776 4824 224 160 0 0 808 5132 4784 6636 3356 2812 3092 2716 0 0 412 0 800 864 1648 868 4576 3364 752 1252 2028 2840 4228
1634803163704,20,10,3824 0 1708 3736 4812 0 96 0 0 780 5144 4792 6640 3356 2832 3068 2736 0 0 424 0 732 836 1608 888 4556 3384 768 1208 2040 2844 4244
1634803163705,20,10,3840 0 1672 3704 4764 0 0 0 0 796 5148 4824 6664 3312 2824 3084 2752 0 0 320 0 676 808 1604 872 4544 3372 756 1216 1992 2848 4240
1634803163705,20,10,3832 0 1636 3584 4668 52 0 0 0 764 5140 4800 6672 3324 2852 3076 2724 0 0 304 0 624 828 1608 836 4552 3368 752 1228 1992 2832 4208
1634803163758,20,10,3824 0 1660 3592 4684 0 64 0 0 772 5160 4856 6652 3340 2828 3068 2724 0 0 384 0 572 796 1584 848 4540 3364 752 1256 2012 2844 4260
1634803163788,20,10,3852 0 1684 3588 4708 80 76 0 0 784 5176 4840 6668 3356 2820 3060 2716 0 0 404 0 608 804 1608 880 4536 3392 752 1224 2020 2880 4256
1634803163839,20,10,3860 0 1716 3656 4752 64 156 0 0 796 5176 4844 6636 3356 2836 3060 2724 0 0 412 0 656 752 1672 920 4560 3428 752 1248 2072 2880 4228
