timestamp,PC,PCD,CH_data
1637046866944,27,2,28376 35443 27753 33738 32843 1 32815 29
1637046867023,28,0,28376 35443 27758 33740 32857 1 32816 28
1637046867023,29,0,28376 35443 27762 33743 32871 2 32818 27
1637046867023,30,0,28376 35443 27766 33745 32887 3 32819 26
1637046867024,31,0,28376 35443 27769 33746 32904 5 32821 25
1637046867024,32,0,28376 35443 27772 33748 32921 8 32822 25
1637046867024,33,0,28376 35443 27773 33748 32938 11 32824 24
1637046867025,34,0,28376 35443 27773 33747 32955 14 32824 23
1637046867025,35,0,28376 35443 27773 33746 32973 18 32825 23
1637046867025,36,0,28376 35443 27771 33743 32991 22 32824 23
1637046867025,37,0,28376 35443 27767 33739 33008 27 32823 22
1637046867026,38,17,28376 35443 27761 33734 33026 31 32822 22
1637046867027,39,1,28376 35443 27753 33727 33042 36 32820 22
1637046867026,40,30,28376 35443 27742 33720 33058 42 32817 23
1637046867027,41,79,28376 35443 27729 33711 33072 47 32814 23
1637046867026,42,0,28376 35443 27713 33701 33084 52 32810 23
1637046867027,43,3,28376 35443 27697 33690 33093 58 32806 24
1637046867028,44,0,28376 35443 27679 33678 33099 63 32802 24
1637046867028,45,0,28376 35443 27659 33666 33101 68 32798 25
1637046867028,46,0,28376 35443 27639 33653 33099 74 32793 26
1637046867068,47,0,28376 35443 27618 33640 33093 79 32788 27
1637046867068,48,0,28376 35443 27596 33626 33083 84 32784 27
1637046867068,49,0,28376 35443 27574 33612 33068 89 32779 28
1637046867069,50,0,28376 35443 27550 33598 33050 94 32774 30
1637046867069,51,0,28376 35443 27527 33584 33027 99 32770 31
1637046867069,52,0,28376 35443 27503 33570 33000 103 32767 32
1637046867069,53,0,28376 35443 27480 33556 32969 108 32764 33
1637046867070,54,17,28376 35443 27457 33543 32935 112 32761 34
1637046867070,55,1,28376 35443 27435 33530 32899 116 32759 36
1637046867070,56,10,28376 35443 27413 33517 32860 120 32758 37
1637046867128,57,79,28376 35443 27393 33506 32820 124 32758 38
1637046867128,58,0,28376 35443 27374 33495 32780 128 32758 39
1637046867128,59,4,28376 35443 27356 33485 32742 132 32758 41
1637046867130,60,0,28376 35443 27339 33476 32703 135 32759 42
1637046867130,61,0,28376 35443 27323 33467 32667 139 32760 43
1637046867130,62,0,28376 35443 27309 33460 32634 142 32762 44
1637046867130,63,0,28376 35443 27297 33453 32604 146 32764 45
1637046867130,0,111,28376 35443 27286 33448 32579 150 32765 46
1637046867130,1,65,28376 35443 27277 33443 32558 153 32767 47
1637046867132,2,177,28376 35443 27269 33439 32541 157 32768 48
1637046867132,3,24,28376 35443 27263 33436 32528 160 32768 49
1637046867132,4,86,28376 35443 27258 33433 32519 164 32769 49
1637046867132,5,139,28376 35443 27254 33432 32514 168 32769 50
1637046867132,6,85,28376 35443 27252 33430 32512 171 32769 50
1637046867132,7,1,28376 35443 27250 33430 32513 175 32768 50
1637046867132,8,30,28376 35443 27250 33430 32516 178 32768 50
1637046867173,9,77,28376 35443 27251 33431 32521 182 32766 50
1637046867173,10,0,28376 35443 27252 33432 32527 185 32764 50
1637046867173,11,1,28376 35443 27255 33434 32535 188 32762 49
1637046867175,12,0,28376 35443 27258 33436 32543 191 32760 49
1637046867176,13,0,28376 35443 27262 33439 32552 195 32757 48
1637046867175,14,0,28376 35443 27266 33443 32562 197 32755 47
1637046867176,15,2,28376 35443 27272 33446 32571 200 32753 46
1637046867175,16,93,28376 35443 27278 33450 32579 203 32751 45
1637046867176,17,97,28376 35443 27284 33455 32587 205 32749 44
1637046867177,18,49,28376 35443 27291 33460 32593 207 32748 43
1637046867177,19,23,28376 35443 27299 33465 32598 209 32747 41
1637046867177,20,228,28376 35443 27308 33470 32602 211 32747 40
1637046867177,21,163,28376 35443 27317 33475 32604 213 32747 38
1637046867233,22,85,28376 35443 27326 33481 32605 214 32748 36
1637046867233,23,1,28376 35443 27335 33486 32605 215 32749 34
1637046867233,24,30,28376 35443 27344 33492 32604 216 32750 32
1637046867234,25,77,28376 35443 27351 33498 32602 217 32751 31
1637046867235,26,0,28376 35443 27359 33504 32601 218 32753 29
1637046867234,27,2,28376 35443 27367 33510 32600 218 32755 27
1637046867235,28,0,28376 35443 27375 33516 32600 218 32757 25
1637046867234,29,0,28376 35443 27384 33522 32601 219 32759 23
1637046867235,30,0,28376 35443 27394 33528 32603 218 32760 21
1637046867237,31,0,28376 35443 27404 33534 32607 218 32762 19
1637046867237,32,0,28376 35443 27413 33541 32612 218 32764 17
1637046867237,33,0,28376 35443 27423 33546 32619 217 32766 15
1637046867237,34,0,28376 35443 27433 33552 32627 217 32768 13
1637046867237,35,0,28376 35443 27442 33557 32637 216 32768 12
1637046867237,36,0,28376 35443 27452 33562 32647 215 32770 10
1637046867237,37,0,28376 35443 27461 33567 32658 214 32771 8
1637046867279,38,17,28376 35443 27469 33572 32669 213 32772 7
1637046867279,39,1,28376 35443 27477 33576 32679 212 32774 6
1637046867279,40,30,28376 35443 27485 33579 32688 210 32775 5
1637046867281,41,79,28376 35443 27492 33583 32695 209 32776 3
