weight,env_temp,sensor_temp_mean,mean,max,min,std
600,0,8.201296296296297,7867.423280423281,8328,7044,311.21921991462125
600,25,25.084294954721862,9550.553686934023,9696,9364,62.3167120669569
600,50,40.46981809478219,10117.380564863572,10252,9956,49.47147395951419
600,80,65.72122741433022,12702.492211838005,12792,12620,33.45611486092654
1090,0,8.181426692965154,10276.44181459566,10704,9624,239.46570910811712
1090,25,25.093170086035737,11419.534083388484,11568,11240,50.97129384238304
1090,50,40.44212121212121,11738.806324110672,11880,11580,55.12891263895895
1090,80,65.4314533762058,13003.686173633441,13120,12888,40.81490532801076
1590,0,8.092219419924339,11683.04918032787,11904,11404,91.73069775394299
1590,25,25.052624254473162,12101.807819748177,12224,11980,39.97106531119689
1590,50,40.40776384957541,12452.70036393045,12556,12328,37.24722581404003
1590,80,65.13620376378975,13155.158987670344,13276,13052,34.75007689589271
